,H2S2,CV,ASV
ASV70_Caulobacter,-0.000292204296941082,2,ASV70_Caulobacter
ASV626_Azorhizophilus,-0.00030403639259296003,2,ASV626_Azorhizophilus
ASV591_unknown,-0.0003056213621098338,2,ASV591_unknown
ASV421_unknown,-0.000328983786448997,2,ASV421_unknown
ASV1224_Duganella,-0.000353720991033942,2,ASV1224_Duganella
ASV386_unknown,-0.000359685136869825,2,ASV386_unknown
ASV396_unknown,-0.0004158459549044126,2,ASV396_unknown
ASV343_Mesorhizobium,-0.0004711536125903951,2,ASV343_Mesorhizobium
ASV747_unknown,-0.0004828661669133769,2,ASV747_unknown
ASV717_Pseudomonas,-0.0004889081466859129,2,ASV717_Pseudomonas
ASV307_unknown,-0.000515686974805904,2,ASV307_unknown
ASV392_unknown,-0.00053158079513846,2,ASV392_unknown
ASV161_Mesorhizobium,-0.0005480332221746271,2,ASV161_Mesorhizobium
